path,key,zh,en,pt,th,vi,ko
src/locales/lang/modalForm,modalForm.system.enter_role_desc_pls,请输入角色描述,Please enter role description,Digite a descrição da função,โปรดกรอกคำอธิบายรูปแบบ,Vui lòng nhập mô tả vai trò,
src/locales/lang/modalForm,modalForm.system.enter_role_name,请输入角色名称,Please enter role name,Digite o nome da função,โปรดกรอกชื่อรูปแบบ,Vui lòng nhập tên vai trò,
src/locales/lang/modalForm,modalForm.system.h5_app_loading,H5/APP加载loding,H5/APP loading,Carregamento de H5/APP,H5/App โหลด loding,Đang tải H5/APP,
src/locales/lang/modalForm,modalForm.system.h5_boot_download_cfg,H5引导下载条设置,H5 guide download bar settings,Configuração de barra de download do H5,การตั้งค่าแถบดาวน์โหลดบูต H5,Cài đặt hướng dẫn tải về H5,
src/locales/lang/modalForm,modalForm.system.max_bet_amount,最高投注,Maximum bet,Aposta máxima,เดิมพันสูงสุด,Cược tối đa,
src/locales/lang/modalForm,modalForm.system.max_bet_amount_tip,最高投注金额',Maximum bet amount,Valor máximo de aposta,ยอดเดิมพันสูงสุด,Số tiền cươc tối đa,
src/locales/lang/modalForm,modalForm.system.max_bet_amount_tip0,请输入最高投注,Please enter maximum bet,Digite a aposta máxima,โปรดกรอกยอดเดิมพันสูงสุด,Vui lòng nhập số tiền cược tối đa,
src/locales/lang/modalForm,modalForm.system.max_bet_tip,最低投注金额,Minimum bet amount,Valor mínimo de aposta,ยอดเงินเดิมพันขั้นต่ำ,Số tiền cược tối thiểu,
src/locales/lang/modalForm,modalForm.system.min_bet_amount,最低投注,Minimum bet,Aposta mínima,เดิมพันขั้นต่ำ,Cược tối thiểu,
src/locales/lang/modalForm,modalForm.system.min_bet_amount_tip,请输入最低投注,Please enter minimum bet,Digite a aposta mínima,โปรดกรอกยอดเดิมขั้นต่ำ,Vui lòng nhập số tiền cược tối thiểu,
src/locales/lang/modalForm,modalForm.system.min_max_bet_tip,最低投注不能大于最高投注,Minimum bet cannot be greater than maximum bet,A aposta mínima não pode ser maior que a aposta máxima,ยอดเดิมพันขั้นต่ำไม่สามารถเกินยอดเดิมพันสูงสุดได้,Tiền cược tối thiểu không được lớn hơn tiền cược tối đa,
src/locales/lang/modalForm,modalForm.system.mobile_region_restriction_pic,移动端地区限制图片,Mobile region restriction image,Imagem de restrição de área móvel,รูปภาพบนอุปกรณ์เคลื่อนที่นี้ถูกจำกัดในภูมิภาคนี้,Ảnh giới hạn vùng di động,
src/locales/lang/modalForm,modalForm.system.only_chinese,只能是中文,Must be Chinese,Somente em chinês,ต้องเป็นภาษาจีนเท่านั้น,Chỉ tiếng Trung,
src/locales/lang/modalForm,modalForm.system.payment_method,收款方式,,,,Phương thức nhận tiền,
src/locales/lang/modalForm,modalForm.system.pc_region_restriction_pic,PC区域限制图片,PC region restriction image,Imagem de restrição de área do PC,รูปภาพบน PC นี้ถูกจำกัดในภูมิภาคนี้,Ảnh giới hạn vùng PC,
src/locales/lang/table,modalForm.system.pwa_desktop_cfg,PWA桌面图标设置,,,,Cài đặt biểu tượng PWA,
src/locales/lang/modalForm,modalForm.system.quickly_jump,快捷跳转,Quick jump,Atalho rápido,กดข้าม,Chuyển đổi nhanh,
src/locales/lang/modalForm,modalForm.system.role_description,角色描述,Role description,Descrição da função,คำอธิบายรูปแบบ,Mô tả vai trò,
src/locales/lang/modalForm,modalForm.system.role_id,角色ID,Role ID,ID da função,ID รูปแบบ,Vai trò ID,
src/locales/lang/modalForm,modalForm.system.role_name,角色名称,Role name,Nome da função,ชื่อรูปแบบ,Tên vai trò,
src/locales/lang/modalForm,modalForm.system.role_name_only_chinese,角色名称只能是中文,Role name must be Chinese,Nome da função somente em chinês,ชื่อรูปแบบสามารถใช้ได้แค่ภาษาจีนเท่านั้น,Tên vai trò chỉ bằng tiếng Trung,
src/locales/lang/modalForm,modalForm.system.role_name_too_long,角色名称长度不能大于8,Role name length cannot exceed 8,Nome da função não pode exceder 8 caracteres,ชื่อรูปแบบต้องไม่ยาวเกิน 8 ตัว,Độ dài tên vai trò không vượt quá 8,
src/locales/lang/modalForm,modalForm.system.site_icon,网页标签icon,Web page tab icon,Ícone de tag da web,Icon ป้ายกำกับหน้าเว็บ,Icon trang Web,
src/locales/lang/modalForm,modalForm.system.status,状态,Status,Status,สถานะ,Trạng thái,
src/locales/lang/modalForm,modalForm.system.superior_role,上级角色,Superior role,Função superior,รูปแบบ Superior,Vai trò cấp trên,
src/locales/lang/modalForm,modalForm.system.system_Icon_click,图标点选,Icon selection,Seleção de ícone,คลิกเลือก Icon,Chọn biểu tượng,
src/locales/lang/business,modalForm.system.system_Security_fast_1,不强制,,,,Không bắt buộc,
src/locales/lang/modalForm,modalForm.system.system_account,账号,Account,Conta,บัญชี,Tài khoản,
src/locales/lang/modalForm,modalForm.system.system_account_go,点击前往,Click to go,Clique para ir,คลิกเพื่อไป,Nhấp vào,
src/locales/lang/modalForm,modalForm.system.system_add_domain_cost_tip_1,域名解析：前30个域名免费（含子域名），超出部分额外收取5USDT/条解析/月;,"Domain resolution: First 30 domains are free (including subdomains), additional are charged 5 USDT/domain/month;","Resolução de domínio: os primeiros 30 domínios são gratuitos (incluindo subdomínios), domínios adicionais são cobrados 5USDT/registro/mês;",การวิเคราะห์โดเมน  ฟรี 30 โดเมนแรก (รวมชื่อโดเมนย่อย) และเมื่อใช้งานเกิน 30 โดนเมนนี้จะมีการเรียกเก็บค่าบริการเพิ่มเติม 5 USDT /การวิเคราะห์/เดือน,"Phân tích tên miền: 30 tên miền đầu tiên miễn phí (chứa tên miền con), hơn một phần phụ phí thêm 5USDT/ phân tích/tháng;",
src/locales/lang/modalForm,modalForm.system.system_add_domain_cost_tip_2,流量：每月前500G免费，超出部分额外收取0.3USDT/G/月;,"Traffic: First 500GB per month is free, additional is charged 0.3 USDT/GB/month;","Tráfego: os primeiros 500G são gratuitos por mês, tráfego adicional é cobrado 0.3USDT/G/mês;",การรับส่งข้อมูล  ฟรี 500G แรกต่อเดือน และเมื่อใช้งานเกิน 500G จะมีการเรียกเก็บค่าบริการเพิ่มเติม 0.3 USDT/G/เดือน,"Lưu lượng truy cập: 500G miễn phí hàng tháng đầu tiên, ngoài một phần thêm 0.3USDT/G/ tháng;",
src/locales/lang/modalForm,modalForm.system.system_add_domain_cost_tip_3,节点：免费提供3个节点，超出部分额外收取300USDT/节点/月，每个节点都是独立云，都能扛攻击，建议均匀分配。,"Node: Free 3 nodes, additional nodes charged 300 USDT/node/month. Each node is an independent cloud capable of handling attacks; distribute evenly recommended.","Nó: 3 nós gratuitos, nós adicionais são cobrados 300USDT/nó/mês, cada nó é uma nuvem independente, resistente a ataques, recomenda-se distribuição uniforme.",Node  มีให้บริการฟรี 3 Node และเมื่อใช้งานเกิน 3 Node จะมีการเรียกเก็บค่าบริการเพิ่มเติม 300 USDT/Node/เดือน แต่ละ Node เป็นระบบคลาวด์อิสระและสามารถต้านทานการโจมตีทางไซเบอร์ได้ ขอแนะนำให้กระจาย Node อย่างเท่าเทียมกันเพื่อความปลอดภัย,"Nút: 3 nút miễn phí, thêm 300USDT/ nút/tháng cho phần còn lại, mỗi nút là một đám mây độc lập, có thể thực hiện tấn công, đề nghị phân phối đồng đều.",
src/locales/lang/modalForm,modalForm.system.system_add_domain_cost_title_tip,费用说明:,Fee Explanation:,Descrição de taxas:,คำอธิบายค่าใช้จ่าย,Chi phí:,
src/locales/lang/modalForm,modalForm.system.system_add_domain_free_certificate_tip,系统免费证书（推荐),System free certificate (recommended),Certificado gratuito do sistema (recomendado),ใบรับรองงระบบฟรี (แนะนำ),Giấy chứng nhận hệ thống miễn phí (giới thiệu),
src/locales/lang/modalForm,modalForm.system.system_add_domain_more_add_tip,支持批量添加，最多20个，多个域名，请换行,"Supports batch addition, up to 20 domains, multiple domains separated by line breaks","Suporta adição em lote, máximo de 20, para vários domínios, por favor, coloque em linhas separadas",รองรับการเพิ่มชื่อโดเมนครั้งละจำนวนมาก สูงสุด 20 ชื่อโดเมน ( โปรดเปลี่ยนบรรทัด ),"Hỗ trợ việc thêm hàng loạt, lên đến 20, nhiều tên miền, xin vui lòng đổi dòng",
src/locales/lang/modalForm,modalForm.system.system_add_domain_notice_tip,温馨提示：只支持顶级域名，请勿添加子域名，请确定批量添加的域名属于同一个CDN厂商，避免数据出现错误。,"Note: Only supports top-level domains, do not add subdomains","Aviso: apenas domínios de nível superior são suportados, não adicione subdomínios",คำแนะนำ รองรับเฉพาะชื่อโดเมนหลักเท่านั้น โปรดอย่าเพิ่มชื่อโดเมนย่อย,"Lời khuyên: chỉ hỗ trợ domain top-level, không thêm tên miền con",
src/locales/lang/modalForm,modalForm.system.system_add_receive,新增佣金,Add Commission,Nova comissão,เพิ่มค่าคอมมิชชั่นใหม่,Thêm hoa hồng,
src/locales/lang/modalForm,modalForm.system.system_add_received,添加佣金方案,Add Commission Plan,Adicionar plano de comissão,เพิ่มแผนค่าคอมมิชชั่นใหม่,Thêm một phương án hoa hồng,
src/locales/lang/modalForm,modalForm.system.system_add_service,添加客服,Add Customer Service,Adicionar atendimento ao cliente,เพิ่มฝ่ายบริการลูกค้าออนไลน์ใหม่,Thêm dịch vụ chăm sóc khách hàng,
src/locales/lang/modalForm,modalForm.system.system_add_username,新增账号,Add Account,Nova conta,เพิ่มบัญชีใหม่,Thêm tài khoản mới,
src/locales/lang/modalForm,modalForm.system.system_app_configuration,APP注册配置,APP Registration Configuration,Configuração de registro do APP,ปรับแต่งการลงทะเบียน APP,Cấu hình đăng ký APP,
src/locales/lang/modalForm,modalForm.system.system_apply_account,申请开发者账号,Apply for Developer Account,Solicitar conta de desenvolvedor,ยื่นเรื่องเปิดบัญชีนักพัฒนา,Đăng ký tài khoản phát triển,
src/locales/lang/modalForm,modalForm.system.system_basic_configuration,基础配置,Basic Configuration,Configuração básica,การกำหนดค่าพื้นฐาน,Cấu hình cơ bản,
src/locales/lang/modalForm,modalForm.system.system_build_data,创建日期,Creation Date,Data de criação,วันที่สร้าง,Tạo ngày tháng,
src/locales/lang/modalForm,modalForm.system.system_build_editor,创建人,Creator,Criador,ผู้สร้าง,Người sáng lập,
src/locales/lang/modalForm,modalForm.system.system_channel_build,是否多渠道打包,Multiple Channels Packaging,Embalagem multi-canal,มี Channel packaging แบบหลายช่องหรือไม่,Có phải bao bì đa kênh,
src/locales/lang/modalForm,modalForm.system.system_channel_build_no,不打,Do not pack,Não,ไม่,Nếu không,
src/locales/lang/modalForm,modalForm.system.system_channel_build_yes,打,Pack,Sim,ใช่,Có,
src/locales/lang/modalForm,modalForm.system.system_channel_code,渠道码,Channel Code,Código do canal,Channel Code,Kênh mã,
src/locales/lang/modalForm,modalForm.system.system_close_registration,关闭注册,Close Registration,Fechar registro,ปิดการลงทะเบียน,Tắt đăng ký,
src/locales/lang/modalForm,modalForm.system.system_commission_received,佣金最低领取,Minimum Commission Claim,Mínimo de retirada de comissão,รับค่าคอมมิชชั่นขั้นต่ำ,Nhận chi trả hoa hồng tối thiểu,
src/locales/lang/modalForm,modalForm.system.system_commission_received_tip,请输入佣金最低领取,Please enter the minimum commission claim,Digite o mínimo de retirada de comissão,โปรดป้อนค่าคอมมิชชั่นขั้นต่ำ,Vui lòng nhập hoa hồng tối thiểu,
src/locales/lang/modalForm,modalForm.system.system_discount_limit,单笔优惠上限,Single Transaction Discount Limit,Limite de bônus por transação,วงเงินโบนัสเติมเงินสูงสุด,Hạn mức tối đa cho một đơn khuyến mại,
src/locales/lang/modalForm,modalForm.system.system_drag_doc_tip,将文件拖到此处，或点击上传,Drag file here or click to upload,Arraste os arquivos aqui ou clique para enviar,ลากไฟล์มาที่นี่หรือคลิกเพื่ออัพโหลด,"Kéo tập tin vào đây, hoặc nhấp chuột để tải lên",
src/locales/lang/modalForm,modalForm.system.system_dynamic_password,动态密码,Dynamic Password,Senha dinâmica,OTP,Mật khẩu động,
src/locales/lang/modalForm,modalForm.system.system_edit_received,编辑佣金方案,Edit Commission Plan,Editar plano de comissão,แก้ไขแผนค่าคอมมิชชั่น,Chỉnh sửa phương án hoa hồng,
src/locales/lang/modalForm,modalForm.system.system_edit_username,编辑账号,Edit Account,Editar conta,แก้ไขบัญชีผู้ใช้,Chỉnh sửa tài khoản,
src/locales/lang/modalForm,modalForm.system.system_email,邮箱,Email,Email,Email,Email,
src/locales/lang/modalForm,modalForm.system.system_email_verification,邮箱验证,Email Verification,Verificação de email,การยืนยัน Email,Xác minh Email,
src/locales/lang/modalForm,modalForm.system.system_enabled_status,启用状态,Enable Status,Status de ativação,เปิดใช้งานสถานะ,Bật trạng thái,
src/locales/lang/modalForm,modalForm.system.system_google_code,谷歌验证码,Google Authenticator Code,Código do Google Authenticator,รหัส 2FA,Mã xác minh Google,
src/locales/lang/modalForm,modalForm.system.system_google_code_qr,谷歌二维码,Google QR Code,Código QR do Google,2 Factor Authentication QR code,Mã QR Google,
src/locales/lang/modalForm,modalForm.system.system_highest_setting,最高最低设置,Highest and Lowest Settings,Configuração de máximo e mínimo,การตั้งค่าสูงสุดและต่ำสุด,Cài đặt cao nhất thấp nhất,
src/locales/lang/modalForm,modalForm.system.system_image_verification,图像验证码,Image Captcha,Captcha,ยืนยันรหัสรูปภาพ,Mã xác minh hình ảnh,
src/locales/lang/modalForm,modalForm.system.system_input_title_tip,请输入消息标题,Please enter the message title,Digite o título da mensagem,โปรดกรอกหัวข้อข้อความ,Vui lòng nhập tiêu đề thông báo,
src/locales/lang/modalForm,modalForm.system.system_interest_tip,请输入保险库规则,Please enter vault rules,Digite as regras do cofre,โปรดกรอกกฎของห้องนิรภัย,Vui lòng nhập quy tắc kho bảo hiểm,
src/locales/lang/modalForm,modalForm.system.system_key,密钥,Key,Chave,Key,Mã khoá,
src/locales/lang/modalForm,modalForm.system.system_key_tip,请输入密钥/Secret,Please enter the key/Secret,Digite a chave/Secret,โปรดกรอก Key/Secret,Vui lòng nhập mã khóa /Secret,
src/locales/lang/modalForm,modalForm.system.system_login_verification,登入注册验证,Login Registration Verification,Verificação de login e registro,ยืนยันการลงทะเบียน,Xác minh đăng ký đăng nhập,
src/locales/lang/modalForm,modalForm.system.system_lottery_betting,彩票下注额度,Lottery Betting Limit,Limite de aposta de loteria,วงเงินเดิมพันลอตเตอรี่,Số tiền đặt cược xổ số,
src/locales/lang/modalForm,modalForm.system.system_lottery_settings,彩票限额设置,Lottery Limit Settings,Configuração de limite de loteria,ตั้งค่าวงเงินลอตเตอรี่,Cài đặt giới hạn số tiền cược xổ số,
src/locales/lang/modalForm,modalForm.system.system_marquee_detail,跑马灯详情,Marquee Details,Detalhes da faixa de notícias,รายละเอียดไฟวิ่ง,Chi tiết hiệu ứng led,
src/locales/lang/modalForm,modalForm.system.system_marquee_result,演示效果,Demo Effect,Efeito de demonstração,การนำเสนอลูกเล่น,Hiển thị hiệu quả,
src/locales/lang/modalForm,modalForm.system.system_maximum_bet,最高下注,Maximum Bet,Aposta máxima,วางเดิมพันสูงสุด,Cược tối đa,
src/locales/lang/modalForm,modalForm.system.system_min_deposit,最低存款,Minimum Deposit,Depósito mínimo,เงินฝากขั้นต่ำ,Mức nạp tiền tối thiểu,
src/locales/lang/modalForm,modalForm.system.system_min_withdrawal,最低取款,Minimum Withdrawal,Retirada mínima,ถอนเงินขั้นต่ำ,Mức rút tiền tối thiểu,
src/locales/lang/modalForm,modalForm.system.system_minimum_bet,最低下注,Minimum Bet,Aposta mínima,วางเดิมพันขั้นต่ำ,Cược tối thiểu,
src/locales/lang/modalForm,modalForm.system.system_minimum_deposit,最低存取款,Minimum Deposit/Withdrawal,Depósito e retirada mínimos,เงินฝากและถอนเงินขั้นต่ำ,Số tiền nạp rút tối thiểu,
src/locales/lang/modalForm,modalForm.system.system_number,编号,Number,ID,หมายเลข,Số hiệu,
src/locales/lang/modalForm,modalForm.system.system_number_tip,请输入编号/ID,Please enter number/ID,Digite o ID,โปรดกรอกหมายเลข / ID,Vui lòng nhập số hiệu/ID,
src/locales/lang/modalForm,modalForm.system.system_offer_settings,优惠设置,Discount Settings,Configuração de bônus,ตั้งค่าโบนัสเติมเงิน,Cài đặt khuyến mại,
src/locales/lang/modalForm,modalForm.system.system_offers_deposit,存取款优惠,Deposit/Withdrawal Discount,Bônus de depósito e retirada,โบนัสฝากและถอนเงิน,Khuyến mại nạp rút tiền,
src/locales/lang/modalForm,modalForm.system.system_phone,手机,Mobile,Telefone,หมายเลขโทรศัพท์,Số điện thoại,
src/locales/lang/modalForm,modalForm.system.system_preferential_rate,优惠比例,Discount Rate,Proporção de bônus,อัตราโบนัสเติมเงิน,Tỷ lệ khuyến mại,
src/locales/lang/modalForm,modalForm.system.system_qus_tip,吗,Confirm,Lógica,ใช่หรือไม่,Không,
src/locales/lang/modalForm,modalForm.system.system_reasoning,推理拼图,Puzzle Reasoning,Quebra-cabeça de raciocínio,จิ๊กซอว์ปริศนา,Sơ đồ phân tích,
src/locales/lang/modalForm,modalForm.system.system_receive_rate,佣金比例,Commission Rate,Proporção de comissão,อัตราค่าคอมมิชชั่น,Tỷ lệ tiền hoa hồng,
src/locales/lang/modalForm,modalForm.system.system_register_configuration,注册配置,Registration Configuration,Configuração de registro,ปรับแต่งการลงทะเบียน,Cấu hình đăng ký,
src/locales/lang/modalForm,modalForm.system.system_register_settings,注册配置,Registration Configuration,Configuração de registro,ปรับแต่งการลงทะเบียน,Cấu hình đăng ký,
src/locales/lang/modalForm,modalForm.system.system_registerlogin_settings,登录注册验证配置,Login Registration Verification Configuration,Configuração de verificação de login e registro,ปรับแต่งยืนยันการลงทะเบียน/ล็อกอิน,Cấu hình xác nhận đăng nhập,
src/locales/lang/modalForm,modalForm.system.system_registration_configuration,Web注册配置,Web Registration Configuration,Configuração de registro web,ปรับแต่งการลงทะเบียนบน Web,Cấu hình đăng ký Web,
src/locales/lang/modalForm,modalForm.system.system_remove_received_tip,您确定删除该佣金方案吗,Are you sure to delete this commission plan,Tem certeza de que deseja excluir este plano de comissão,คุณแน่ใจหรือไม่ว่าจะลบแผนค่าคอมมิชชั่นนี้,Bạn có chắc chắn để loại bỏ phương án hoa hồng không,
src/locales/lang/modalForm,modalForm.system.system_schedule_name,方案名称,Plan Name,Nome do plano,ชื่อแผนงาน,Tên phương án,
src/locales/lang/modalForm,modalForm.system.system_service_configuration,客服配置,Customer Service Configuration,Configuração de suporte,ปรับแต่งฝ่ายบริการลูกค้าออนไลน์,Cấu hình dịch vụ khách hàng,
src/locales/lang/modalForm,modalForm.system.system_service_link,客服链接,Customer Service Link,Link de suporte,ลิงค์ฝ่ายบริการลูกค้าออนไลน์,Kết nối dịch vụ chăm sóc khách hàng,
src/locales/lang/modalForm,modalForm.system.system_settings_deposit,存取款设置,Deposit/Withdrawal Settings,Configuração de depósito e retirada,ตั้งค่าการฝากและถอนเงิน,Cài đặt nạp rút tiền,
src/locales/lang/modalForm,modalForm.system.system_site_configuration,站点配置,Site Configuration,Configuração do site,การปรับแต่งเว็บไซต์,Cấu hình trang web,
src/locales/lang/modalForm,modalForm.system.system_site_detail,站点详情,Site Details,Detalhes do site,รายละเอียดเว็บไซต์,Chi tiết trang web,
src/locales/lang/modalForm,modalForm.system.system_site_editor,编辑站点,Edit Site,Editar site,แก้ไขเว็บไซต์,Chỉnh sửa trang web,
src/locales/lang/modalForm,modalForm.system.system_site_status,站点状态,Site Status,Status do site,สถานะเว็บไซต์,Trạng thái trang web,
src/locales/lang/modalForm,modalForm.system.system_slide,滑动,Slide,Deslizar,การเลื่อน,Hệ thống trượt,
src/locales/lang/modalForm,modalForm.system.system_smart_verification,智能验证,Smart Verification,Verificação inteligente,การยืนยันอัจฉริยะ,Xác minh thông minh hóa,
src/locales/lang/modalForm,modalForm.system.system_sms_verification,短信验证,SMS Verification,Verificação por SMS,การยืนยันข้อความ,Xác minh tin nhắn,
src/locales/lang/modalForm,modalForm.system.system_start_build_environment,开始构建,Start Building,Iniciar construção,เริ่มสร้าง,Bắt đầu xây dựng,
src/locales/lang/modalForm,modalForm.system.system_text_click,文字点选,Text Selection,Seleção de pontos de texto,คลิกเลือกข้อความ,Chọn kiểu văn bản,
src/locales/lang/modalForm,modalForm.system.system_three_configuration,三方登录,Third-Party Login,Login de terceiros,ล็อกอินผ่านช่องทางอื่น,Đăng nhập bên thứ ba,
src/locales/lang/modalForm,modalForm.system.system_to_deactivate_tip,您确定要,Are you sure to disable,Tem certeza de que deseja desativar,คุณแน่ใจหรือไม่ว่าต้องการจะปิดการใช้งาน,Bạn có chắc muốn tắt,
src/locales/lang/modalForm,modalForm.system.system_to_on_tip,您确定要开启,Are you sure to enable,Tem certeza de que deseja ativar,คุณแน่ใจหรือไม่ว่าต้องการเปิดใช้งานสิ่งนี้,Bạn có chắc muốn mở,
src/locales/lang/modalForm,modalForm.system.system_username,姓名,Name,Nome,ชื่อและนามสกุล,Họ tên,
src/locales/lang/modalForm,modalForm.system.system_users_number,使用人数,Number of Users,Número de usuários,จำนวนผู้ใช้งาน,Số người sử dụng,
src/locales/lang/modalForm,modalForm.system.system_whether_required,是否需打码,Coding Required,Necessário aposta,ต้องการเทิร์นโอเวอร์หรือไม่,Có cần mã hóa hay không,
src/locales/lang/modalForm,modalForm.system.third_partite_id,编号/ID,Number/ID,ID,หมายเลข / ID,Số hiệu/ID,
src/locales/lang/modalForm,modalForm.system.third_partite_secret,密钥/Secret,Key/Secret,Chave/Secret,Key/Secret,Mã khoá/Secret,
src/locales/lang/modalForm,modalForm.system.years,年份,Year,Ano,ปี,Năm,
src/locales/lang/modalForm,modalForm.warning.required,不能为空,Cannot be empty,Não pode estar vazio,ไม่สามารถเว้นว่างได้,Không được bỏ trống,
src/locales/lang/table,report_apply_time,申请时间,,,,Thời gian xin ,
src/locales/lang/routes/agent,routes.agent.agent,代理管理,Agent Management,Gerenciamento de agente,การจัดการตัวแทน,Quản lý đại lý,
src/locales/lang/routes/agent,routes.agent.agentList,代理列表,Agent List,Lista de agentes,รายชื่อตัวแทน,Danh sách đại lý,
src/locales/lang/routes/agent,routes.agent.agentPlan,代理方案,Agent Plan,Plano de agentes,แผนงานตัวแทน,Phương án đại lý,
src/locales/lang/routes/agent,routes.agent.commissionList,佣金列表,Commission List,Lista de comissões,รายการค่าคอมมิชชั่น,Biểu trả hoa hồng,
src/locales/lang/routes/agent,routes.agent.recordsManagement,记录管理,Record Management,Gerenciamento de registros,การจัดการบันทึก,Ghi chép quản lý,
src/locales/lang/routes/basic,routes.basic.errorLogList,错误日志列表,Error Log List,Lista de registros de erro,รายการบันทึกข้อผิดพลาด,Danh sách nhật ký lỗi,
src/locales/lang/routes/basic,routes.basic.errorNoData,暂无数据,,,,Không có số liệu,
src/locales/lang/routes/basic,routes.basic.login,登录,Login,Login,ล็อกอิน,Đăng nhập,
src/locales/lang/roures,routes.commission.add_ad,新增广告,,,,Thêm quảng cáo,
src/locales/lang/routes/commission,routes.commission.commission,代理管理,Agent Management,Gerenciamento de agente,การจัดการตัวแทน,Quản lý đại lý,
src/locales/lang/routes/commission,routes.commission.commissionCollect,汇总,Summary,Resumo,ทั้งหมด,Tổng hợp,
src/locales/lang/routes/commission,routes.commission.commissionConfig,佣金配置,Commission Configuration,Configuração de comissão,ปรับแต่งค่าคอมมิชชั่น,Cấu hình hoa hồng,
src/locales/lang/routes/commission,routes.commission.commissionDetail,佣金明细,Commission Details,Detalhes da comissão,รายละเอียดค่าคอมมิชชั่นแบบละเอียด,Chi tiết hoa hồng,
src/locales/lang/routes/commission,routes.commission.commissionRecord,发放记录,Disbursement Records,Registro de liberação,บันทึกการจ่ายออก,Nhật ký phát,
src/locales/lang/routes/commission,routes.commission.commissionReview,佣金审核,Commission Review,Revisão de comissão,ตรวจสอบค่าคอมมิชชั่น,Xét duyệt hoa hồng,
src/locales/lang/routes/discountActivity,routes.discountActivity.activity,活动管理,Activity Management,Gerenciamento de promoções,การจัดการกิจกรรม,Quản lý hoạt đông,
src/locales/lang/routes/discountActivity,routes.discountActivity.add_offer,新增优惠,Add Discount,Adicionar promoção,เพิ่มโบนัสเติมเงินใหม่,Thêm hoa hồng mới,
src/locales/lang/routes/discountActivity,routes.discountActivity.discount,优惠明细,Discount Details,Detalhes da promoção,รายละเอียดโบนัสเติมเงิน,Chi tiết sự kiện,
src/locales/lang/routes/discountActivity,routes.discountActivity.discountActivity,优惠活动,Promotional Activities,Atividade promocional,กิจกรรมโบนัสเติมเงิน,Sự kiện ưu đãi,
src/locales/lang/routes/discountActivity,routes.discountActivity.interest,保险库,Vault,Cofre,ห้องนิรภัย,Kho,
src/locales/lang/routes/finance,routes.finance.add_Withdrawal_config,添加支付配置,Add Payment Configuration,Adicionar configuração de pagamento,เพิ่มการปรับแต่งการชำระเงิน,Thêm cấu hình thanh toán,
src/locales/lang/routes/finance,routes.finance.add_deposit_card,添加入款卡,Add Deposit Card,Adicionar cartão de depósito,เพิ่มบัญชีฝากเงิน,Thêm thẻ nạp tiền,
src/locales/lang/routes/finance,routes.finance.add_pre_payment_management,添加代付,Add Payout,Adicionar pagamento de comissão,เพิ่มการชำระเงิน (Payment gateway),Thêm thanh toán hộ,
src/locales/lang/routes/finance,routes.finance.commission_withdrawal,佣金取款,Commission Withdrawal,Retirada de comissão,ถอนค่าคอมมิชชั่น,Rút tiền hoa hoa hồng,
src/locales/lang/routes/finance,routes.finance.company_deposit,公司入款,Company Deposit,Depósito da empresa,ฝากระบบธนาคาร,Công ty nhập khoản,
src/locales/lang/routes/finance,routes.finance.currency_deposit,货币入款,Currency Deposit,Depósito em moeda,ฝากระบบคริปโต,Tiền tệ nhập khoản,
src/locales/lang/routes/finance,routes.finance.currency_withdrawal,货币取款,Currency Withdrawal,Retirada em moeda,ถอนระบบคริปโต,Rút tiền,
src/locales/lang/routes/finance,routes.finance.deposit_card_management,入款卡管理,Deposit Card Management,Gerenciamento de cartão de depósito,จัดการข้อมูลบัญชีเงินเข้า,Quản lý thẻ nạp tiền,
src/locales/lang/routes/finance,routes.finance.deposit_summary,存取总汇,Deposit/Withdrawal Summary,Resumo de depósito e saque,ภาพรวมการฝาก/ถอน,Bảng tóm tắt nạp rút,
src/locales/lang/routes/finance,routes.finance.edit_deposit_card,编辑入款卡,Edit Deposit Card,Editar cartão de depósito,แก้ไขข้อมูลบัญชีเงินเข้า,Chỉnh sửa thẻ nạp tiền,
src/locales/lang/routes/finance,routes.finance.edit_pre_payment_management,编辑代付,Edit Payout,Editar pagamento de comissão,แก้ไขการชำระเงิน (Payment gateway),Chỉnh sửa thanh toán hộ,
src/locales/lang/routes/finance,routes.finance.member_account_history,会员账变记录,Member Account Change Records,Registro de mudanças dos membros,บันทึกการเปลี่ยนแปลงบัญชีสมาชิก,Lịch sử giao dịch thành viên,
src/locales/lang/routes/finance,routes.finance.moduleName,财务管理,Financial Management,Gerenciamento financeiro,การจัดการการเงิน,Tài vụ,
src/locales/lang/routes/finance,routes.finance.online_payment,在线支付,Online Payment,Pagamento online,ชำระเงินออนไลน์,Hỗ trợ trực tuyến,
src/locales/lang/routes/finance,routes.finance.online_withdrawal,线上取款,Online Withdrawal,Retirada online,การถอนเงินออนไลน์,Rút tiền trực tuyến,
src/locales/lang/routes/finance,routes.finance.payment_management,支付管理,Payment Management,Gerenciamento de pagamento,จัดการการชำระเงิน,Quản lý thanh toán,
src/locales/lang/routes/finance,routes.finance.pre_payment_management,出款管理,Payout Management,Gerenciamento de pagamento de comissão,จัดการการชำระเงิน (Payment gateway),Quản lý thanh toán hộ,
src/locales/lang/routes/finance,routes.finance.venue_transfer_records,场馆转账记录,Transfer Records,Registro de transferência de estádios,บันทึกการโอนเงินของแพลตฟอร์ม,Lịch sử giao dịch sảnh game,
